1	Horník Jan	STAN
2	Berka Zdeněk	ČSSD
3	Nenutil Miroslav	ČSSD
4	Dernerová Alena	S.cz
5	Homolka Václav	KSČM
6	Chládek Marcel	ČSSD
7	Terelmešová Dagmar	ČSSD
8	Emmerová Milada	ČSSD
9	Bis Jiří	ČSSD
10	Jirsa Tomáš	ODS
11	Látka Jan	ČSSD
12	Krejča Miroslav	ČSSD
13	Eybert Pavel 	ODS
14	Šesták Jiří 	STAN
15	Štěch Milan	ČSSD
16	Oberfalzer Jiří	ODS
17	Grulich Tomáš 	ODS
18	Řihák Josef	ČSSD
19	Pešák Milan 	ODS
20	Syková Eva 	ČSSD
21	Škaloud Miroslav 	ODS
22	Cabrnochová Ivana	SZ
23	Filipiová Daniela 	ODS
24	Kladívko Tomáš	ODS
25	Bratský Petr	ODS
26	Michálek Libor	Piráti
27	Schwarz Zdeněk	ODS
28	Vrecionová Veronika	ODS
29	Mezian Hassan	ČSSD
30	Dienstbier Jiří 	ČSSD
31	Doubrava Jaroslav	S.cz
32	Kubera Jaroslav	ODS
33	Sykáček Jaroslav	ČSSD
34	Sobotka Přemysl	ODS
35	Zeman Jaroslav	ODS
36	Kapoun Karel	ČSSD
37	Táborský Josef	ČSSD
38	Jermář Jaromír 	ČSSD
39	Trpák Pavel	ČSSD
40	Strnad Jaromír	ČSSD
41	Jeništa Luděk 	STAN
42	Lebeda Pavel	ČSSD
43	Horská Miluše 	Nestran.
44	Veleba Jan	NK
45	Dryml Vladimír	ČSSD
46	Šilar Petr	KDU-ČSL
47	Franc Lubomír	ČSSD
48	Antl Miroslav	ČSSD
49	Regec Jozef	ČSSD
50	Martínek Radko 	ČSSD
51	Zvěřinová Dagmar	ČSSD
52	Vystrčil Miloš RNDr.	ODS
53	Bublan František 	ČSSD
54	Bayerová Marta RNDr.	KSČM
55	Žaloudík Jan 	ČSSD
56	Hajda Jan	ČSSD
57	Bárek Ivo	ČSSD
58	Juránek Stanislav	KDU-ČSL
59	Wagnerová Eliška	SZ
60	Janeček Miloš 	ČSSD
61	Tesařík Martin	ČSSD
62	Sekaninová Božena	ČSSD
63	Lajtoch Jiří	ČSSD
64	Palas Jaroslav	ČSSD
65	Brož Zdeněk 	KDU-ČSL
66	Korytář Karel	ČSSD
67	Besta Zdeněk	ČSSD
68	Plaček Vladimír 	ČSSD
69	Richtrová Eva	ČSSD
70	Maštalíř Antonín	ČSSD
71	Sulovský Leopold	Ostravak
72	Guziana Petr	ČSSD
73	Gawlas Petr	ČSSD
74	Vícha Petr	ČSSD
75	Sušil Radek	ČSSD
76	Malý Miloš 	ČSSD
77	Čunek Jiří	KDU-ČSL
78	Gajdůšková Alena PaedDr.	ČSSD
79	Škromach Zdeněk	ČSSD
80	Kunčar Patrik	KDU-ČSL
81	Doupovcová Hana	ČSSD
